label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
2	1580 m^2	-0.5375	Reilly	Data Science	-0.8221	795	265	soccer	1013	59
0	301 m^2	-1.7385	Fabrice	Electrical Engineering	0.6675	948	94	track & field	-286	496
1	1487 m^2	1.5378	Eriq	Computer Science	1.2003	1272	945	football	1197	235
0	742 m^2	0.0706	Fabrice	Bioinformatics, Electrical Engineering	0.9871	1623	-153	track & field	-450	1189
3	16 m^2	1.0606	Lise	Human Computer Interaction	0.2581	3000	503	basketball	2479	739
2	1148 m^2	-0.2616	Reilly	Technology And Information Management	0.0526	-395	736	soccer	797	517
4	79 m^2	1.5675	Andrew	rOBOTICS eNGINEERING	2.6465	245	578	baseball	929	402
2	483 m^2	0.2232	Reilly	Computer Game Design	-1.0766	-1004	NULL	soccer	458	976
3	-100 m^2	1.1385	Sam	Natural Language Processing	0.9349	1715	-183	motor sports	1389	NULL
3	526 m^2	0.6222	Sam	Natural Language Processing	1.8256	1018	-1182	badminton	2572	2381
2	2787 m^2	0.5949	Reilly	Computational Media	1.1031	-53	135	SOCCER	1344	1025
2	-459 m^2	0.715	Sam	Data Science, Technology and Information Management	0.9928	218	1634	soccer	46	455
2	1437 m^2	-0.2915	Reilly	Technology and Information Management, Computational Media	-0.1843	-649	1098	tennis	-1044	-55
4	1274 m^2	0.4908	Sam	Computer Science	2.6784	955	-4	golf	556	1014
0	523 m^2	-0.6182	Fabrice	Computer Engineering	0.6824	3060	-455	running	-1365	2182
3	190 m^2	-0.1397	Sam	Bioengineering, Natural Language Processing, Games and Playable Media, Applied Mathematics	0.3211	-393	-281	boxing	1456	-181
4	-1003 m^2	-0.0634	Michael	Data Science, Computational Media	1.5658	281	70	golf	1804	-276
1	-1129 m^2	1.2207	Vani	Statistics	-0.2004	1012	1578	football	443	-288
4	-38 m^2		Michael	Robotics Engineering	0.7532	135	-63	golf	1624	1154
4	1007 m^2	0.2734	chris	Computer Science	0.7267	-935	846	BASEBALL	927	-567
1	-34 m^2	0.8479	Eriq	Computer Game Design	0.8922	-331	817	football	765	-149
4	1992 m^2	-0.7037	Michael	Computer Science	1.0789	394	1408	golf	1792	-538
3	252 m^2	0.0695	LISE	Games and Playable Media, Natural Language Processing, Bioengineering	-0.2024		-342	ice hockey	1522	1120
1	6 m^2	0.4631	Tony	Statistics	0.7101	602	624	football	397	402
2	-1142 m^2	-0.072	Reilly	Human Computer Interaction	-0.4105	-1214	223	tennis	2480	749
1	1933 m^2	0.1658	Eriq	Computer Game Design	1.5221	-1209	1453	football	-59	687
1	135 m^2	0.1147	Eriq	Computer Game Design	-0.7817	-427	2185	football	1010	770
4	825 m^2	0.4005	Chris	Robotics Engineering	0.543	2519	-1655	golf	2762	1091
3	1462 m^2	0.1095	Lise	Games and Playable Media, Natural Language Processing, Applied Mathematics, Human Computer Interaction	1.5778	485	831	boxing	-246	1148
3	-427 m^2	1.2781	Sam	Applied Mathematics	0.1751	946	1064	basketball	3050	479
2	829 m^2	1.1157	Reilly	Human Computer Interaction, Applied Mathematics	-1.1084	1467	1493	soccer	1237	1070
0	1190 m^2	-0.5557	Inan	Biotechnology, Bioinformatics	0.2943	-513	-47	running	-228	963
0	2119 m^2	-0.4285	Inan	Human Computer Interaction, Games and Playable Media	0.5419	-80	-453	running	1807	706
2	-1043 m^2	0.7227	Fabrice	Computational Media	-0.2198	637	787	soccer	3196	468
0	624 m^2	1.7121	Fabrice	Bioinformatics, Biotechnology	0.2989	820	-417	tennis	980	556
3	44 m^2	-0.065	Lise	Games and Playable Media, Bioengineering, Applied Mathematics, Human Computer Interaction	1.0197	1474	2741	badminton	1833	898
1	969 m^2	1.7206	Eriq	bIOTECHNOLOGY	1.8195	361	-15	football	-347	915
0	1180 m^2	0.9111	Inan	Biotechnology	-0.0549	835	502	baseball	118	-493
1	362 m^2	-0.0957	Eriq	Computer Game Design	-0.1394	684	932	football	416	443
1	55 m^2	0.5292	Vani	Statistics	0.4062	1309	-57	football	877	719
3	221 m^2	1.6671	Sam	Human Computer Interaction, Natural Language Processing, Applied Mathematics	1.2502	992	459	volleyball	391	1553
3	931 m^2	0.3687	Lise	Computer Game Design	0.7939	2164	66	boxing	688	-634
4	1366 m^2	0.3603	Andrew	Computer Science	-0.717	583	-478	golf	1071	2681
3	143 m^2	1.4512	Lise	Natural Language Processing, Bioengineering, Human Computer Interaction, Games and Playable Media	0.1649	-554	459	volleyball	2	1933
3	-361 m^2	-0.2133	Lise	Applied Mathematics, Natural Language Processing, Games and Playable Media, Human Computer Interaction	-0.5596	603	-415	volleyball	2075	1457
0	823 m^2	0.2207	vANI	Computer Engineering, Electrical Engineering	-0.4134	152	-481	track & field	139	941
2	1238 m^2	1.3902	Reilly	Computational Media	0.6921	703	1421	soccer	2385	-378
3	-904 m^2	0.6326	Sam	Statistics	1.0052	280	970	basketball	1186	922
2	1411 m^2	1.4162	Reilly	Technology and Information Management, Computational Media	0.4011	-1135	1091	tennis	1174	458
4	1807 m^2	0.1615	Chris	Computer Science	1.4331	1107	1047	running	-1301	1658
2	403 m^2	-0.3318	Reilly	Computational Media	0.303	199	1165	soccer	557	1278
4	1259 m^2	1.4431	Chris	tECHNOLOGY AND iNFORMATION mANAGEMENT, cOMPUTATIONAL mEDIA	0.6412	-226	-314	golf	1078	28
2	1203 m^2	0.9732	Reilly	Data Science	0.0879	1515	387	soccer	-380	-454
3	932 m^2	0.2928	Lise	Natural Language Processing, Human Computer Interaction	0.1479	583	209	boxing	?	-61
3	-495 m^2	0.1434	Sam	Human Computer Interaction, Games and Playable Media	1.1603	422	975	basketball	1785	1313
0	1321 m^2	0.6391	Inan	Electrical Engineering	0.821	-112	1031	track & field	-707	1068
2	987 m^2	0.4951	Reilly	Data Science	-0.0668	490	-364	tennis	1862	893
1	1520 m^2	2.425	Lise	Electrical Engineering, Biotechnology, Computer Engineering	1.1936	1347	416	baseball	1020	79
1	-223 m^2	1.1118	Tony	Computer Game Design	0.1798	800	1115	football	969	793
4	1553 m^2	0.2188	Andrew	Robotics Engineering	-0.12	913	171	golf	None	1032
3	-648 m^2	0.8949	Lise	Natural Language Processing	1.1462	51	447	boxing	2194	3008
1	-81 m^2	1.9053	Vani	Statistics	0.3281	324	2424	football	730	-14
2	1294 m^2	0.961	Reilly	Technology and Information Management, Computational Media	-0.6667	1249	720	soccer	278	1474
0	1279 m^2	1.7576	Inan	Electrical Engineering, Bioinformatics, Biotechnology	2.1647	-1989	1559	running	-465	2514
0	-77 m^2	2.0519	Fabrice	Electrical Engineering	1.0096	843	-1327	running	156	1461
4	508 m^2	0.2995	Andrew	Computer Science	-0.5686	438	919	golf	727	-288
2	678 m^2	-0.1162	Reilly	Technology and Information Management	0.2194	230	-505	golf	2453	1556
3	2002 m^2	0.4528	Lise	Applied Mathematics	1.3559	510	188	boxing	1328	1694
4	1652 m^2	0.7705	Andrew	Robotics Engineering	1.2466	1415	-164	golf	1812	-282
4	-434 m^2	-0.0378	Chris	Computer Science	-0.6634	1697	161	golf	1321	-141
4	1966 m^2	0.6102	ANDREW	Robotics Engineering	-0.0831	938	-850	baseball	-314	-249
0	-508 m^2	0.5467	Fabrice	Computer Engineering	1.882	788	-373	track & field	-448	1009
2	-2766 m^2	0.8592	Reilly	Technology and Information Management	1.4242	-1223	253	soccer	1016	1278
1	1930 m^2	-0.2521	Vani	Robotics Engineering	-1.5007	394	438	basketball	-737	1193
4	282 m^2	0.6919	Michael	Robotics Engineering	1.8553	2250	-604	baseball	585	-107
3	-1946 m^2	-0.0637	Lise	Computer Science	0.1432	768	611	badminton	924	-252
4	1377 m^2	0.2775	Michael	Computer Science	0.8727	1255	1474	golf	917	-116
0	1504 m^2	0.1564	Inan	Electrical Engineering	2.9132	1127	468	running	-112	1003
2	524 m^2	-0.3526	Lise	Robotics Engineering	0.9846	-56	522	tennis	370	503
1	1809 m^2	1.8553	Tony	Computer Game Design	-0.9567	245	694	FOOTBALL	1139	792
0	1360 m^2	0.9817	Fabrice	Biotechnology, Electrical Engineering, Bioinformatics	0.7176	-194	-1094	track & field	705	824
3	123 m^2	0.9236	Sam	Games and Playable Media, Human Computer Interaction, Natural Language Processing, Bioengineering	-0.0471	869	251	motor sports	1191	1227
0	1071 m^2	-0.2678	Fabrice	Computational Media, Technology and Information Management	1.2991	1766	-1098	running	2224	-414
3	204 m^2	-0.357	Sam	Human Computer Interaction	1.3119	897	585	basketball	773	662
1	-148 m^2	0.1713	Vani	Statistics	-0.2256	-1533	779	football	179	-248
1	365 m^2	-0.0093	Tony	Statistics	-0.0252	-84	803	Football	633	1150
1	742 m^2	1.0665	Eriq	Statistics	-0.059	1518	1973	football	340	239
3	-1033 m^2	0.3223	Sam	Human Computer Interaction, Bioengineering, Games and Playable Media	1.1465	-781	838	boxing	965	2382
4	1392 m^2	0.1651	Chris	Robotics Engineering	0.0228	585	-52	baseball	691	515
4	463 m^2	1.6953	Michael	Computer Science	-0.4904	1780	737	baseball	1657	-373
2	831 m^2	-1.058	Reilly	Technology and Information Management, Computational Media	0.3275	1982	1607	soccer	112	-37
4	-688 m^2	0.94	Michael	Natural Language Processing, Bioengineering	0.3808	1931	848	golf	1137	-81
0	972 m^2	-0.526	Fabrice	Biotechnology, Bioinformatics	-0.0805	354	-672	running	1077	2163
3	951 m^2	0.7756	Lise	Games and Playable Media, Applied Mathematics, Human Computer Interaction, Bioengineering	2.5241	340	-507	boxing	-38	245
0		0.984	Inan	Computer Engineering, Biotechnology, Electrical Engineering	2.5853	179	-711	football	-587	846
3	-116 m^2	1.7925	Reilly	Technology and Information Management, Data Science	-0.8636	979	856	basketball	45	1392
4	894 m^2	1.9505	Andrew	Computer Science	1.4454	440	-744	baseball	298	-152
4	854 m^2	0.2034	chris	Computer Science	-0.0633	1812	-88	baseball	1477	760
3	792 m^2	1.7251	Sam	Natural Language Processing, Games and Playable Media	0.1377	1555	175	ice hockey	896	n/a
3	-12 m^2	0.2363	Lise	Human Computer Interaction, Games and Playable Media	0.6173	605	185	basketball	97	1600
2	1004 m^2	0.8224	Reilly	Computational Media	0.4329	297	11	tennis	1336	-1258
3	476 m^2	0.2106	Sam	Human Computer Interaction, Games and Playable Media, Natural Language Processing, Bioengineering	-0.9411	2167	1382	basketball	541	1253
3	-1280 m^2	-0.2681	Sam	Applied Mathematics, Human Computer Interaction	-0.3366	-439	228	volleyball	1177	2037
0	1161 m^2	0.3699	Inan	Bioinformatics	-1.4513	847	218	running	180	1601
1	1880 m^2	0.8326	Tony	Statistics	-0.3234	-889	542	football	-657	-721
1	682 m^2	1.0149	Vani	Statistics	0.1934	486	1169	football	1304	1522
4	1200 m^2	0.5968	Sam	Robotics Engineering	0.7638	29	1274	golf	1726	7
1	-152 m^2	0.4526	Vani	Statistics	0.5842	310	446	football	-148	1045
3	1238 m^2	-0.1172	Sam	Games and Playable Media, Natural Language Processing, Human Computer Interaction, Applied Mathematics	0.0155	-80	261	ice hockey	1478	827
2	2131 m^2	-0.2099	Reilly	Technology and Information Management	-0.1556	826	890	tennis	1532	1465
4	694 m^2	-0.8357	Chris	Robotics Engineering	0.2872	1161	131	baseball	785	81
3	320 m^2	1.2234	Lise	Human Computer Interaction, Applied Mathematics	1.2835	906	427	basketball	1873	632
3	-1355 m^2	0.4807	Sam	Games and Playable Media, Applied Mathematics	1.4199	981	-1324	badminton	1635	N/A
2	2398 m^2	-0.05	Reilly	Data Science	-0.5508	-481	1555	tennis	960	1169
0	1163 m^2	0.1826	Inan	Electrical Engineering, Bioinformatics	1.4303	-354	-768	running	-922	1329
0	485 m^2	-0.4762	Inan	Biotechnology, Bioinformatics	0.3006	770	49	running	987	1013
4	1003 m^2	0.2739	Andrew	Robotics Engineering	2.4051	11	-136	golf	-156	-702
4	-784 m^2	-0.3423	Chris	Computer Science	0.4949	2406	1046	golf	64	580
2	536 m^2	0.3598	Reilly	Robotics Engineering	-0.807	698	377	soccer	1919	2169
0	2607 m^2	-0.2989	Fabrice	Electrical Engineering, Computer Engineering	0.7617	98	13	NULL	2016	1785
2	936 m^2	0.0269	INAN	Computational Media	0.314	529	-425	tennis	441	355
2	-89 m^2	0.7097	Reilly	Data Science, Computational Media	-0.0482	-1240	1419	soccer	2150	25
4	1130 m^2	1.6678	Michael	Computer Game Design	3.2257	729	743	baseball	973	298
2	472 m^2	0.803	Reilly	Data Science	-0.1291	421	839	tennis	1916	-671
3	1196 m^2	0.4351	Lise	Human Computer Interaction, Games and Playable Media	1.7602	1797	-393	motor sports	1940	705
1	-360 m^2	0.6645	Vani	cOMPUTER gAME dESIGN	0.961	-824	1262	football	1043	741
0	466 m^2	0.933	Lise	?	0.5075	-418	524	track & field	1143	560
1	8 m^2	0.084	Tony	Computer Game Design	-0.1525	225	991	football	-406	-1727
1	1106 m^2	0.6097	Tony	Computer Game Design	-0.2446	290	2333	football	37	1390
3	517 m^2	0.7671	Sam	Human Computer Interaction	-0.2159	1399	666	ice hockey	239	1349
3	1439 m^2	0.5751	Lise	Games and Playable Media, Natural Language Processing, Bioengineering, Applied Mathematics	0.2407	1397	-239	badminton	193	917
0	1824 m^2	-0.9612	Fabrice	Technology and Information Management	-0.4397	1270	186	running	546	1681
4	1391 m^2	1.3093	Reilly	Computer Science	-1.7309	513	-1318	baseball	1796	164
2	841 m^2	0.0942	Reilly	Data Science	-1.637	334	2633	soccer	835	-833
2	636 m^2	0.654	Reilly	Computational Media, Technology and Information Management	-0.159	-521	959	SOCCER	2551	225
3	932 m^2	0.4348	Lise	Computer Science	0.5728	1356	873	volleyball	2102	819
1	1022 m^2		Vani	Statistics	-0.3423	-1380	-339	football	-64	1167
0	117 m^2	-0.464	Fabrice	Computer Engineering, Biotechnology	-0.1065	-57	-786	Track & Field	-2	1575
1	745 m^2	0.519	Vani	Statistics	0.5024	-352	212	football	40	565
0	1742 m^2	1.4695	Fabrice	Bioinformatics	0.4095	1881	706	track & field	-481	1707
1	2015 m^2	0.2007	Vani	Computer Game Design	-1.4089	-247	-454	football	-800	2959
0	-58 m^2	0.4243	Fabrice	?	0.9211	-945	-665	running	802	-114
3	176 m^2	0.1488	Sam	HUMAN COMPUTER INTERACTION, GAMES AND PLAYABLE MEDIA, NATURAL LANGUAGE PROCESSING	0.7037	-1003	221	N/A	273	305
0	707 m^2	-0.3198	Inan	Computational Media, Technology and Information Management	1.027	202	-17	TRACK & FIELD	113	1503
1	-1560 m^2	0.8957	ERIQ	Computer Game Design	-0.0574	140	619	football	1647	-892
2	2388 m^2	1.2378	Reilly	Technology and Information Management, Data Science	-0.721	286	2287	soccer	1342	-1236
1	1561 m^2	0.6132	Vani	Computer Game Design	0.6208	799	868	football	888	463
0	1006 m^2	1.1269	Fabrice	Electrical Engineering	0.3571	1257	234	running	797	320
0	-1100 m^2	0.0903	n/a	Biotechnology	1.9782	774	-1274	track & field	-471	1477
2	741 m^2	1.8371	Reilly	Computational Media	0.4933	1292	-725	soccer	-61	131
0	-590 m^2	-0.5078	Inan	Biotechnology, Electrical Engineering	1.809	-725	1107	running	579	1113
0	2 m^2	-0.4264	Fabrice	Bioinformatics, Biotechnology, Electrical Engineering	1.1849	-185	-539	running	-509	1276
1	223 m^2	-0.2343	Vani	Statistics	0.537	1692	1541	football	158	845
0	198 m^2	-0.1173	Fabrice	Biotechnology, Bioinformatics	0.1743	-475	841	running	539	648
1	530 m^2	1.0074	Tony	Statistics	-0.4482	-142	1153	football	215	-433
2	1202 m^2	1.3606	Reilly	Computational Media	0.5776	1202	1747	tennis	1822	1293
3	-408 m^2	0.2674	Sam	Games and Playable Media	1.2056	-757	-329	Volleyball	699	1857
2	2575 m^2	0.3147	Reilly	Technology and Information Management, Data Science	0.5374	269	-559	soccer	1256	-118
0	501 m^2	-1.112	Inan	Electrical Engineering	1.4653	-705	625	running	-827	1565
4	961 m^2	0.6906	Michael	Computer Science	0.0689	1310	519	golf	-350	-584
4	419 m^2	-0.7167	Michael	Statistics	0.9362	271	-1462	golf	1340	-607
3	1055 m^2	-0.9316	Lise	Games and Playable Media, Human Computer Interaction, Natural Language Processing, Applied Mathematics	2.116	508	-1714	motor sports	788	1428
2	2292 m^2	0.8184	Reilly	Technology and Information Management, Data Science	-0.4541	1434	1109	soccer	1627	1322
0		0.3034	Fabrice	Bioinformatics, Computer Engineering, Biotechnology	-0.082	2610	-756	running	397	561
1	1214 m^2	1.2931	Vani	Computer Game Design	-0.2814	-75	977	football	162	932
4	633 m^2	-0.0168	Andrew	Robotics Engineering	1.0561	930	670	football	2405	821
2	88 m^2	1.2001	reilly	Computational Media	1.8496	810	-603	tennis	2375	168
0	2124 m^2	0.9239	Fabrice	Computer Engineering	1.0397	408	1384	track & field	766	-94
3	-520 m^2	-0.8252	Sam	Bioengineering, Human Computer Interaction	0.0847	941	57	boxing	1075	1847
3	1119 m^2	0.4644	Lise	Statistics	-0.3475	-448	408	boxing	-495	1079
4	491 m^2	1.4394	Andrew	Computer Science	2.706	-151	794	baseball	1108	-13
2	1388 m^2	1.2891	Reilly	Computational Media, Technology and Information Management	-0.2858	1129	740	tennis	464	-66
0	1179 m^2	0.0975	Inan	Statistics	1.9004	1195	698	track & field	-331	1147
1	1104 m^2	-1.1111	Reilly	Statistics	-0.5932	-624	396	football	1144	304
4	1463 m^2	0.436	Andrew	Computer Science	0.8956	1155	2533	soccer	627	27
4	1855 m^2	0.6577	Michael	Computer Science	1.8785	-353	830	baseball	970	380
4	962 m^2	-0.0336	Michael	Robotics Engineering	0.6183	709	-16	baseball	-768	20
2	181 m^2	0.1269	Reilly	Data Science	0.1981	228	376	soccer	797	-189
3	-343 m^2	1.0986	Sam	Natural Language Processing, Applied Mathematics, Games and Playable Media	0.8735	1727	-78	basketball	715	1621
3	-144 m^2	0.3565	Sam	Bioengineering, Games and Playable Media, Human Computer Interaction	1.5672	1534	-4	ice hockey	-20	1200
0	269 m^2	-0.5791	Fabrice	Bioinformatics	-0.5198	1851	6	track & field	569	1029
4	3078 m^2	0.6386	Chris	Computer Science	1.669	1383	1415	baseball	2103	-1186
2	1409 m^2	0.4386	Reilly	Computational Media	-0.1586	1379	1593	soccer	756	365
3	-195 m^2	-0.4683	Sam	Human Computer Interaction, Natural Language Processing	-0.0174	949	-807	motor sports	-716	1414
4	1496 m^2	-0.5063	Andrew	Computer Science	2.3076	491	-647	golf	38	313
2	704 m^2	0.2407	Reilly	Data Science, Computational Media	-1.4533	489	523	tennis	1418	315
0	1816 m^2	1.2801	Inan	Bioinformatics	2.2279	370	45	track & field	695	1426
2	1291 m^2	1.4024	Reilly	Data Science, Technology and Information Management	-0.4883	200	97	soccer	-955	1907
0	833 m^2	0.4522	Sam	Biotechnology, Electrical Engineering, Computer Engineering	1.7682	1922	784	running	342	-75
1	-112 m^2	-0.0422	TONY	Statistics	1.0626	-849	1784	football	-189	205
4	158 m^2	0.7218	Michael	Computer Science	2.069	897	-481	golf	1233	-315
2	626 m^2	0.954	Reilly	Technology and Information Management	0.6246	-1760	1659	soccer	2472	1029
0	2 m^2	0.0851	Fabrice	Biotechnology, Computer Engineering	0.2142	1101	110	track & field	1012	1687
2	705 m^2	-1.0975	Reilly	Computational Media	-0.0791	-199	353	soccer	-407	369
0	536 m^2	0.918	Fabrice	Computer Engineering	1.6471	-539	852	track & field	554	1310
3	1656 m^2	1.2024	Sam	Applied Mathematics	-0.556	58	168	volleyball	100	-30
0	597 m^2	0.1814	Lise	Biotechnology, Bioinformatics, Electrical Engineering	-0.4529	1021	690	track & field	320	1454
3	1751 m^2	0.8625	Sam	Bioinformatics, Biotechnology, Electrical Engineering	1.52	2273	298	basketball	281	573
0	1815 m^2	0.49	Fabrice	Bioinformatics, Electrical Engineering, Biotechnology	2.071	-186	1224	running	442	1799
4	-276 m^2	0.8754	Andrew	Computer Science	1.666	624	274	baseball	1487	1803
2	759 m^2	0.2075	Reilly	Computer Engineering, Biotechnology	0.5259	-1115	438	tennis	-958	-611
2	2042 m^2	-0.1784	Reilly	Computational Media, Technology and Information Management	-0.7962	1414	-144	tennis	2266	179
0	-75 m^2	0.8742	Inan	Bioinformatics, Electrical Engineering, Computer Engineering	2.2196	1346	-1266	running	-88	1315
1	524 m^2	1.3563	Eriq	Statistics	-0.7369	-833	365	football	1121	917
2	1149 m^2	0.2323	Reilly	Computational Media	-0.4156	-710	-232	tennis	2558	1677
2	2114 m^2	0.1411	Reilly	Computational Media, Data Science	-0.0733	374	155	soccer	1197	-89
1	497 m^2	1.1934	Eriq	Statistics	0.0794	-133	417	football	-636	565
4	135 m^2	0.1761	Andrew	Computer Science	0.9881	-1275	-215	baseball	-106	None
2	1918 m^2	1.6084	Reilly	Computational Media, Technology and Information Management	-0.4684	100	1353	tennis	505	777
1	1515 m^2	0.943	Tony	Robotics Engineering	1.4353	619	1697	football	-174	-434
1	2047 m^2	0.8998	Eriq	Computer Game Design	-0.6278	-314	-482	football	-536	598
3	-225 m^2	-0.1838	Lise	Human Computer Interaction	-0.3747	1995	-18	motor sports	2035	750
4	889 m^2	1.1421	Chris	Robotics Engineering	0.8225	538	468	baseball	-1314	686
0	135 m^2	0.1494	Inan	Electrical Engineering, Bioinformatics, Computer Engineering	-0.9988	838	-277	running	725	687
3	390 m^2	1.7825	Sam	Natural Language Processing, Bioengineering, Games and Playable Media	2.5619	1226	462	ice hockey	2061	1657
2	130 m^2	-1.0818	Reilly	Computational Media, Technology and Information Management	0.0229	-188	710	soccer	-335	1507
0	1002 m^2	1.3016	Fabrice	Computer Engineering, Electrical Engineering	0.9487	1461	133	track & field	328	2346
1	1623 m^2	1.6224	Eriq	COMPUTER GAME DESIGN	-0.3548	549	-682	football	272	-496
1	1185 m^2	1.412	Vani	Statistics	1.1729	-1443	427	football	398	1377
4	923 m^2	0.1045	Andrew	Robotics Engineering	0.1844	1239	1082	golf	1185	77
1	1449 m^2	0.308	Tony	Applied Mathematics, Games and Playable Media, Bioengineering, Human Computer Interaction	-0.3095	908	45	football	733	138
4	729 m^2	-1.0494		Robotics Engineering	0.815	-252	713	baseball	1557	1006
1	1531 m^2	0.561	VANI	Statistics	-1.2705	1122	1962	football	506	1
4	1730 m^2	0.342	Andrew	Robotics Engineering	1.4716	695	600	golf	1357	247
0	776 m^2	1.5267	Inan	Bioinformatics, Computer Engineering, Electrical Engineering	1.244	651	-773	track & field	510	1700
2	-403 m^2	0.2098	Reilly	Technology and Information Management	-1.4382	1930	-379	soccer	937	568
1	316 m^2	1.0268	Eriq	N/A	-0.2302	856	268	football	-197	-328
2	1502 m^2	-0.0772	Reilly	Data Science, Technology and Information Management	0.0358	225	141	soccer	804	1267
2	671 m^2	0.2157	Reilly	Computational Media, Technology and Information Management	0.5017	486	772	tennis	1353	953
4	-71 m^2	0.1564	Andrew	Data Science, Technology and Information Management	-0.5981	1328	-478	baseball	1356	549
3	1254 m^2	0.6426	INAN	Computational Media	0.5912	29	148	motor sports	1606	2000
1	90 m^2	0.797	Eriq	Computer Game Design	-0.2381	-60	27	football	147	-520
0	-493 m^2	1.2825	Fabrice	Bioinformatics, Computer Engineering, Biotechnology	0.604	220	-997	running	-1047	1057
0	-96 m^2	0.9094	Fabrice	Applied Mathematics	-0.0487	-598	619	track & field	-292	1375
4	-382 m^2	0.7697	Andrew	Robotics Engineering	2.7868	202	530	golf	1887	-337
3	-792 m^2	-0.5644	Lise	Computational Media, Technology and Information Management	0.9584	-146	1923	ice hockey	1472	1221
1	-557 m^2	1.9535	Eriq	Statistics	-0.1559	676	1517	football	-691	2511
3	-504 m^2	0.624	Andrew	Natural Language Processing, Applied Mathematics, Bioengineering, Human Computer Interaction	1.0001	1213	1123	badminton	412	-75
3	-884 m^2	0.5363	Lise	Electrical Engineering, Biotechnology	0.4	703	153	ice hockey	663	1668
2	1243 m^2	0.6653	Reilly	Technology and Information Management	0.2738	-11	1895	tennis	948	133
2	843 m^2	-0.2638	Reilly	Technology and Information Management	-0.6351	150	-605	soccer	1176	1313
0	1306 m^2	0.3051	Fabrice	Computer Engineering, Biotechnology, Electrical Engineering	0.5118	887	911	track & field	-563	1118
1	877 m^2	1.3458	Eriq	Statistics	-1.5616	499	860	football	329	-204
4	1722 m^2	0.8415	Andrew	Computer Engineering, Biotechnology, Electrical Engineering	0.3043	-530	352	golf	2380	726
4	1483 m^2	0.0947	Michael	Computer Science	1.4385	2299	700	Golf	150	498
4	1315 m^2	0.168	Chris	Robotics Engineering	1.2051	1363	-623	baseball	1685	486
2	1290 m^2	-1.1757	Reilly	Computer Science	-0.5473	504	243	tennis	2096	111
4	1455 m^2	1.2208	Andrew	Robotics Engineering	0.5497	852	539	golf	-3	-142
3	1183 m^2		Lise	Applied Mathematics	1.6475	45	1223	ice hockey	381	202
0	207 m^2	0.7025	Fabrice	Electrical Engineering, Biotechnology, Computer Engineering	1.1155	2223	-151	running	418	918
1	2452 m^2	0.6413	Vani	Computational Media, Data Science	0.1858	341	1127	football	1637	1324
0	1216 m^2	0.5883	Fabrice	bIOTECHNOLOGY, bIOINFORMATICS	-0.5972	525	567	running	-1658	479
1	-378 m^2	-1.1235	Eriq	Computer Game Design	1.4129	621	1522	football	20	622
3	-1090 m^2	0.1349	Lise	Bioengineering, Applied Mathematics, Natural Language Processing, Games and Playable Media	0.2042	163	1148	basketball	169	20
3	-702 m^2	1.595	Sam	Human Computer Interaction, Natural Language Processing	-0.4185	1568	197	motor sports	153	133
4	41 m^2	0.5914	Chris	Computer Science	1.0804	1746	-1303	baseball	283	-457
2	716 m^2	-0.0738	Reilly	Data Science, Computational Media	-0.172	-659	522	soccer	1726	-354
4	509 m^2	1.2667	Michael	Data Science, Computational Media	-0.0068	777	1252	golf	1215	-160
